NA_atom_unit,NB_atom_unit,NC_atom_unit,Valence_Con_A,Valence_Con_B,Valence_Con_C,a_?_uint,c_?_unit,HSE_Band_Gap_eV,LVB_window,LCB_Window,B_Gpa,Average_mh,Anisotropy_mh,VB_Extrema_0_1eV,1_00E+18,1E18_Pockets,1E19_Pockets,1E20_Pockets,VB_dos_at_0_1_states_atom,Average_me,Anisotropy_me,CB_Extrema_0_1eV,#NAME?,CB_dos_at_0_1_states_atom,Temperature,Kpa,N_optimal,ZT
0,1,1,0.625,1,0.5,0.535073409,0.142819051,0.534883721,0.025316456,0.813432836,0.559322034,0.069767442,0.003848621,0,0.4140625,0,0.5,0.2,0.016233766,0.25136612,0.017171717,0,0.090909091,0.003322259,0.181818182,0.299212598,1.62,0.09
0.5,0,0.333333333,1,0,0.5,0.32137031,0.012532305,0.604651163,0.455696203,0.820895522,0.518904824,0.130232558,0.000641437,0.6,0.8671875,0,0,0,0.600649351,0.234972678,0.043650794,0,0.090909091,0.003322259,0.181818182,0.05511811,0.35,0.237
0.5,0,0.333333333,1,1,0.5,0.649265905,0.018501046,0.73255814,0.683544304,0.962686567,0.893415906,0.074418605,0.034637588,0,0.46875,0,0,0.2,0.016233766,0.234972678,0.048340548,0,0.090909091,0.006644518,0.181818182,0.25,2.06,0.113
0.5,0,0.333333333,1,0.5,0.5,0.553017945,0.017229356,0.348837209,0.569620253,0.992537313,0.960560626,0.093023256,0.041693393,0,0.2265625,0.5,0.5,0.2,0.016233766,0.326047359,0.065656566,0,0.090909091,0.003322259,0.181818182,0.50984252,2.54,0.071
1,0,0.666666667,0.25,0.5,1,0.655791191,0.94464044,0.38372093,0.227848101,0.059701493,0.776075619,0.046511628,0.281590763,0.2,0.3359375,0,0.5,0.4,0.00974026,0.653916211,0.071067821,0.777777778,0.727272727,0.431893688,0.181818182,0.244094488,-1.49,0.124
1,0,0.666666667,0.625,0,1,0.694942904,0.962936374,0.395348837,0.392405063,0.134328358,0.742829205,0.009302326,0.032713278,0.6,0.7578125,0,0,0.4,0.295454545,0.071038251,0.027777778,0.222222222,0.181818182,0.352159468,0.181818182,0.183070866,-1.05,0.222
1,0,0.666666667,0.625,0.5,0.5,0.492659054,0.902531074,0.174418605,0.405063291,0.529850746,0.840938722,0.153488372,0.041693393,0.8,0.7265625,1,1,1,0.230519481,0.071038251,0.075396825,0,0.090909091,0.003322259,0.181818182,0.275590551,3.88,0.084
0,0,0,0.25,0,0.5,0.026101142,0.451470649,0.837209302,0.063291139,0.574626866,0.956323338,0.265116279,0.104554201,0.6,0.609375,0,0,0,0.292207792,0.307832423,0.080808081,0,0.090909091,0.013289037,0.272727273,0.149606299,0.44,0.267
0,0,0,0.25,1,1,0.781402936,0.534315133,1,0.139240506,0.149253731,0.485658409,0.069767442,0.215522771,0,0.4375,0,0,0,0.00974026,0.344262295,0.089466089,0.444444444,0.727272727,0.15282392,0.272727273,0.187007874,-1.42,0.304
0,0,0,0.625,1,0.5,0.54812398,0.482483489,0.686046512,0,0.73880597,0.322359844,0.055813953,0.01603592,0,0.546875,0,0.5,0.2,0.006493506,0.198542805,0.02020202,0,0.090909091,0.003322259,0.272727273,0.228346457,1.01,0.183
